Name,Gender,score,comments
Gerry Brady,female,1,"[""Honestly, Professor Brady is the best professor I've ever had in Computer Science. The level of detail that she is able to break down a problem is absolutely incredible . Trust me when I say this, but you won't get a professor with that kind of diligence in CS ever. She provides foundations and inputs unique insights on how to solve a problem."", ""Dry lectures,covers standard material, no inspiration, bad attitude & always grumpy.. just read her slides/notes from a classmate instead of attending. It is quite easy to present math in a straightforward manner and still be clear like a textbook but she does nothing extra you can't read directly from a book"", ""Algorithms is one of the hardest classes I've ever taken, and it's no understatement to say that I don't know how I would've made it through without Gerry Brady. She really cares about her students, and puts an enormous amount of effort into her lectures -- and it shows."", ""Gerry cares a lot about her students, but she is not a great teacher for this subject. She does not introduce topics with context, and distill the material into it's essential points. To put it another way lecture is like someone reading straight out of the textbook. You're better off learning the material through videos online, much clearer."", ""Lots of people told me to just learn comp sci on my own - Gerry plays into that advice. She does not add value as a professor. Gerry's lectures are like reading out of a textbook. She writes on the chalkboard for hours straight, missesrefuses to answer questions, and struggles to emphasize key points. She doesn't distill jargon into wisdom."", 'Professor Brady is an incredible teacher. I had her this last quarter for algorithms, and am convinced she is the reason I enjoyed the subject so much. It was certainly difficult, but I felt that she made the material understandable. The only issue I took was her choice of TA - one of the TAs was excellent while the other was not as qualified.', 'Gerry is the best professor I have had in CSPP. Her classes are challenging. Homework are hard but that is how you learn. Tests are fair. She uses the board a lot. Make sure to take notes.', ""Very enthusiastic and helpful to her students. I loved the subject even more thanks to her style. I don't agree that her questions were too hard. She writes too much on the board though. I wish she uses PowerPoint more often."", 'Gerry is quite simply one of the very best professors I have ever had. She will call on you of the blue and expect you to know the answer, which kept me very engaged in the class.', ""Algorithms is a difficult topic...I'm not sure I would have understood everything if it wasn't for Gerry."", ""Professor Brady's Algorithms course is difficult - as it should be. It was an excellent experience and will push the average students to their best."", 'Gerry rocks.', 'A gem of a teacher, Professor Brady is professional and personable. She has obvious command of this subject and is interested in her students. The material is difficult, but in some measure the difficulty will depend on your background. In any event, Gerry Brady is the prof to cover this with. Even with my limited skills, I did well in her course.', 'Gerry is an amazing teacher - she explains difficult concepts in a patient and clear manner, is available to help students outside of class, and is inspirational in the breadth and depth of her knowledge of the topic.', 'No Comments']"
Charles Lipson,male,1,"['He is so overly proud of himself, arrogant, not accessible to his students, and leaves virtually all of the class grading and teaching to his TAs. All he does is lecture for 3 hrs a week. That is not effective teaching.', 'Interesting and engaging. Very knowledgeable instructor. He has been on CNN', 'Great guy. Easy to follow. Interesting lectures. Cares about his students. Simple assignments graded fairly.', 'Terrible Lecturer and boring. He makes jokes and he is the only one laughing at his jokes. Noone likes him.', 'Also quite humorous.', 'nice guy', ""You know that annoying kid who sits in the corner of the class and occaisionaly jumps in with completely random and irrelevant comments - that's professor Lipson. I had him for the introductory Soc sequence and an IR class, while he is a nice guy, I didn"", ""Oh the PowerPoint, get ready for plenty of multimedia.. but wait, he actually uses it well unlike anyone else. The lectures actually hold your attention mostly, and he's rather amiable."", 'I love Professor Lipson, funny guy, even though his lectures could be a little dry and boring at times. Very knowledgeable, especially with IR. Very easy to get an A in his class, just do the work and papers.', 'No Comments', ""An entertaiing lecturer always, though sometimes gets off topic. A true expert in his field, very respected by his collegues. The nicest teacher you'll ever have, he's eager to help you in any way he can, despite being a very busy man."", 'No Comments']"
Bernard Harcourt,male,1,"[""Great lectures, when focused; however, the quality of his seminars are often too dependent on the passivity and activity of the students. I'm sure others well agree that his seminars could benefit from i) being more closed (less student presentations, and more lecturing please!), ii) constrained (in terms of readings) and iii) more organized."", 'EXCELLENT! He is a brilliant man.', 'The best class I took at UChicago! Professor Harcourt is amazing and passionate about his topics. Also, tremendously helpful when approached regarding advice for further study or work.', 'A fascinating class! Prof. Harcourt is a wonderful lecturer and his class on Punishment and Social theory is one of the best classes I have ever taken. He is tremendously helpful and nice if approached; he is also very passionate about his topics, yet respectful of other opinions. It was great.', ""Awful. Makes no effort to understand, much less to teach, the material he's responsible for. Hopes you won't notice his ignorance and obfuscates when asked questions."", ""Professor Harcourt is great -- he's obviously passionate about the material he teaches and has a genuine interest in helping his students learn and exposing them to new ideas."", 'I thought Criminal Law was EXCELLENT - maybe the other reviewers took it a different year. Lots of tangents for sure, but those only served to give a glimpse of the larger, complicated, organic backdrop of the law. To me it was fascinating. To him, clearly EVERYTHING is fascinating. He has an infectious enthusiasm that brings the law to life.', ""I completely agree with the other person who posted, this man doesn't even do the readings he assigns and often loses track of what he is trying to say. cares more about personal appearance than his lecture."", ""Horrible. Harcourt is simply incompetent, arrogant, ill-prepared for class, and painfully bad at teaching the concepts of the class. Worst teacher I've ever had; avoid at all costs!""]"
John MacAloon,male,0,"['One of the most brilliant men I have had the honor of learning under. He can be hard work, but it pays off. I would never have been admitted to a PhD program without him.', 'He hasn\'t really done much to earn the title of ""brilliant."" His lectures were well organized, but he relied on others to teach. Publish? Please. Teach? A little. It seems he has been mailing it in since the 1996 Olympics.', 'Professor MacAloon is a smart man. Echoing others - he is quite arrogant. Significant reading load but doable. Didn\'t think the course was very difficult, but extremely useful in order to gain ""perspective.""', ""He's a hard ass and volatile to deal with. Especially if you show the slightest attitude. (Be deferential and you won't have any trouble.) On the other side, he's got something big to teach you: His lectures are absolutely inspired and will alter your view of the world some. And that's what you go to the U of Chicago for, he's well worth your time."", 'this man\'s teaching is amazing. his course was so important to understanding academia. those who have left negative comments about ego are most likely ""that kid"" types who were shut down. those there to learn will appreciate how he does not tolerate egomaniac students. his class was fascinating. also, great dry sense of humor.', 'An amazing prof', 'Great guy', ""It's nice to be reading Weber again, so I'm predisposed to having a favorable feeling about this class. But really it is just fine. MacAloon is really dedicated to giving us MAPSS students his full attention: He memorized everyone's names and important info about us (there are like 180 of us!)and is really hands-on in the program."", ""Is really not a good lecturer. I wish he'd realize that relying upon one's lecture notes so heavily is not good teaching. He also needs to learn time management/when the class ends. I also wish he'd learn how to explain concepts more clearly."", 'this guy is so full of himself, he should not be teaching anymore.', ""The coursework is exceptionally important. This is one of the best courses I ever had. It's hard to tell how great he is or how much the preceptors, texts, and collective interest of my classmates had to do with making this class special."", 'Regardless of whether he is brilliant or not, he is certainly presumptuous and rude. But could certainly harm you if provoked. Regardless of status or brilliance, I find any incapacity to treat others with dignity as relevatory of some self esteem issue somewhere. Tread lightly and with sagacity.', 'prof macaloon is one of the most captivating, brilliant, and remarkable teachers i have ever had..anyone who comments on his arrogance should know it is well warrented-the man has hundreds of webpages, is respected around the world, and i feel luck to have taken a class with him!', 'Guy is very full of himself, aggresive when questioned in any way -- and likes to gossip about other faculty in ways that are not appropriate IMHO.', 'bad', ""cool guy, very interesting and smart. those of you who complain ab/ his arrogance must not have spent much time in the university atmosphere...or in the world in general. a genuinely good guy who is often fascinating in class. he sometimes speaks brashly, but anyone with social skills can realize he's joking. he will really make you think."", 'No Comments', ""I don't think I have to mention the ego. Yes, it's enormous, and mostly unwarranted. But he does have a (very dry) sense of humor, which makes some classes more bearable than others. Pay attention to your preceptors, do your readings, and you'll get a lot more out of his classes than his lecturing would permit."", ""Yes, there's an ego there, but you're at the UC, so what exactly are you expecting? Guy studied under Victor Turner, so he knows his stuff. Plus, if you take the time to get to know him, it's worth the investment. Not the clearest lecturer always, uses that UC-speak (i.e., jargon-laden speech meant to confuse). You get out what you put in."", ""amazing professor! his teaching is an experience. he's brilliant.""]"
Grace Tsiang,male,0,"['I did not have Grace for class other than the honors workshop, but she was an invaluable resource throughout my econ undergrad experience. She always provides realistic perspectives on problems and does a fantastic job finding students in similar situations for you to talk to. She and Victor are stalwarts of the department.', ""I also went in to speak with her as an undergrad about my interest in getting a grad degree in econ. She said that I couldn't possibly be truly interested in that path. Without the advice, I didn't take the right steps and am struggling still to pursue my dream. I don't know if she discriminated against me in some way or if she is generally harmful"", ""As long as you're competent and prepared to talk to her, Dr. Tsiang is amazing. She's extremely smart and a great teacher, too."", 'I emailed a reasonable question about the Econ major and her response was simply: Why do you think you can be an Econ major?', 'I met with Grace once to discuss whether economics was the right major for me, and she acted like I was intruding on her time and was very condescending to me. One would think that, as the director of the undergrad econ program, she would be passionate about discussing such a subject with a first-year. Hopefully someone else will replace her.']"
Michael Silverstein,male,1,"['Really fascinating guy, bonus for very funny and engaging lectures. Does not actually talk down to the audience, which is uncommon. Even if you have no interest in the textbooks he makes the class worthwhile.', 'Extremely engaging. Extremely lively way of lecturing, subversive since of humor. Sincere desire to impart a greater understanding of what is essential to his students. A teacher who inspires with humanity, humor, and honest brilliance.', 'The only person I have had the privilege of knowing that I can honestly describe as a genius. He is also funny and told our class the best joke I have ever heard (Jakobson\'s ""Armenian"" joke). He decided to pursue linguistics at the age of 11, which explains a lot.', 'Brilliant, funny. Also, efficiently cuts off irrelevant student rambling during class discussion.', ""This man is not pretentious; he is simply brilliant. However, if you try to talk like him, *you* will be pretentious. He's very friendly and engaging outside of class, although he may be somewhat removed while lecturing. I would recommend a tape recorder -- the content is very, very, very dense."", 'Totally hot', 'This is one of the most brilliant men, the very very very best teacher, and one of the most fascinating courses that I have ever been exposed to. Sell your organs or children to be there if necessary. Seriously. (Very difficult class.)']"
James Veeneman,male,1,"['He is an amazing professor, who really knows what he is talking about and who can truly reach out to his students and help them reach their potential. Keep it up Jim', ""He is an awesome teacher, a brilliant man whose knowledge shows the students what they need to strive for, He can ramble a bit, but that makes him lovable and I couldn't stress about how much he loves what he does and the energy he brings to class is great! Keep it up Jim"", 'Professor Veeneman seemed like a good teacher. Very interesting the first day, but then class after class he started getting off topic. Then students were faced with a midterm exam that everybody would have failed if not for a generous curve. Teacher is somewhat arrogant and can not tolerate any dissenting opinions--should not be teaching!', 'Fun class, a little off topic at times; but I was happy with the overall quality of material. The prof is funny and passionate about the subject. He cares most about students learning the material.', 'The class was really relaxed, but I feel this was one of the strengths of the class. The professor worked hard to reach the students, however class morale was low, making this a difficult task. I woul definitely recommend this class to others because the professor is fun, has a real passion for the subject, and is genuinely concerned for students', ""I was VERY disappointed with this class. I expected a lot more. The professor seemed disorganized and it was never clear what we were supposed to cover in a given class. Thus, I only got a fraction of what I could have out it. I was definitely willing to work, but the prob sets felt like a waste because we often didn't have the tools to do them"", 'I really enjoyed this course and learned so much in just 10 weeks. I wish SSA would offer this course in two parts one to focus on the Financial Statements and one to focus on budgeting. Great class!', 'Also would have liked to have stayed on track with the lecture slides. Nice that Prof wanted to connect with us in digressions, but that attempt at comraderie not important for my personal learning. Prob Sets ended up piling up b/c of time management; perhaps keep due dates for prob sets but add a TA session for those who need it.', ""The posted slides were a very helpful learning tool, although I wished we would have been able to stay more on target during class time. Also, I appreciated Veeneman's enthusiasm and desire to challenge us as students (although some of my classmates expressed their malcontent over the expectations I thought his challenging was appropriate.)"", 'Professor very accessible. Email & office visits readily available to students and response to questions is quick. PowerPoint slides very good - synthesize necessary information. Sometimes homework questions did not appear in readings, which was challenging but solvable. Required time & effort to master material. Was req course, so somewhat limited interest prior to start of quarter, but it proved to be very interesting & valuable.', 'SSA needs more Veeneman. This class is a critical part of the curriculum at SSA and Veeneman adds tremendous value from years of experience. There is so much material that could be covered, I was frustrated by the rambling, unfocused classes-stay on task and make lectures more targeted and efficient. The homework was extremely helpful.', ""This was on of the most interesting classes I've taken at U of C. His teaching style and personality combine dramatically! Too few professors case so much about the beauty and curiosity of learning. He engaged students and truly facilitated mutual learning. Jim is highly ethical and places high peformance standards on students"", ""This was a class that you got out as much as you put in... a guided indep. study. It wasn't as organized as well as it could be, and the lectures felt like a Tony Robins seminar on the virtue of finance for NPOs. However, I got a lot out of the class and would take him again. Get organized and things would be excellent... tremendous potential."", ""Yes, the professor wasn't skilled at staying on point and getting a job done, but was helpful in delivering messages that are critical to the work of non-profit management. More importantly, the SSA process for evaluation is far more useful than this and also should have been employed."", 'This is the worst class I have taken. His stories and unrelated comments took away from valuable learning time and wasted our tuition money. He is very intelligent but does not know how to pass on the knowledge. Class consists of him talking instead of teaching. I was disappointed in his lack of organization during each class and the quarter overal']"
Elizabeth Helsinger,male,1,"['One of my favorite professors/classes of my entire education.', ""she's wonderful and brilliiant."", 'Beth is a fantastic, caring prof who really loves the material she works with! One of the best profs in the English department !', ""Brilliant, responsive to her students, one of the best professors I've ever had"", 'Quite antique, quite lapserian...Better avoid!', 'frigid personality, not much to say except in the realm of furniture and tapestry production.']"
Arnold Davidson,male,1,"['Davidson is arrogant, loud mouthed, and self indulgent. He doesnt seem to listen to what comes out of his mouth, he only revels in it. The class material was very interesting, but the professor was not really good. Class was listless, a moment he could prop himself up as a white knight, and peppered with laughs by students who wanted his approval', 'on of the best people I have ever met and the best professor I have ever had.Not arrogant at all, I hope he will not leave Pisa because here everybody will miss him.And Foucault told the truth!', ""brilliant man. brusque and arrogant at times but still awesome. lectures are lucid, funny - don't miss out."", ""Amazingly clear on Foucault. And he actually knew the guy. What's with the permanent arm in a sling? Tendonitis from writing too much?"", ""Modern philosophy class was good, didn't take the Foucalt. Grade A easy going philosophy prof. Haugeland is pretty chill too."", ""This professor changed my life. He resurrected philosophy for me and joined my personal life w/ my studies. Sure he's 'subtly' arrogant, but holy **** must it be annoying having to listen to us ****ing trip all over this **** that is of ultimate import."", ""He may be smart but he has no manners. Ultimately the rudest prof I have ever seen. Shouldn't the philosophy help him deal with that?"", 'heard his foucault class is excellent. 20th century thought was good, but i wish it was more rigorous though. sometimes i thought he was ""idiosyncratic""; but sometimes it seemed like he was just to be so (subtly arrogant).', ""Davidson is a ray of idiosyncratic sunshine. the quality of T.A.'s is a toss-up.""]"
Christina Von Nolcken,male,1,"[""Great teacher - first taught me at St Anne's Oxford with my then girlfriend now wife. Lovely person"", 'Loved her class. Wish I had taken more from her sooner!', 'Loved her! Extremely excited about teaching, always very interested in the material. Always has interesting information and insight into a subject, and responds very well to discussion. Readings are very reasonable, and she\'s very approachable. Lax with paper deadlines/easy grader. Awesome accent/mannerisms. Owns a ""pedagogical boarskin.""', 'Love her!! Easy grader, always has little interesting tidbits of history to share, so class is always interesting!!', 'Delightful little British lately, passionate about Chaucer, grateful for class participation. Not a hard grader and very light reading assignments. Makes the class about as interesting as possible; not stuffy.']"
