Name,Gender,score,comments
Ted Mosby,female,1,"[""Look T Dog is cool, he is always trying to show us stuff that looks cool and wow... He has a building he designed now overlooking the new york skyline. If the DJ thing doesn't work out... Which I'm sure it will... Then maybe..."", 'Ted Mosby changed my life for the better. Thank you, Ted.', 'But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um... But um...', 'Classic Schmosby rocks!', 'Ted is the best person ever to walk on earth.', ""Always was available outside of class, usually at a pub called McClaren's near the university. Teddy Westside gave me an A when I told him to go after the girl of his dreams. Great guy."", 'He was late to our very first class but he was really food overall', 'Ted Mosby', 'LOVED HIS CLASS', 'T-dog the best', 'Loved the one about Maggie (make adjustments go get energised)', ""loved his lectures, especially the one's about his endless lovelife"", 'Nice guy', 'His classes are Legen-- wait for it --dary! Legandary!', 'I love How I met your mother!!!!!!!!!!!!!', 'he made fun of my friend, cook:(', 'SCHMOSBYY', ""I'm a foreign student from India and a Music Industry major so Architecture isn't something I needed to study. I took the class for fun but ended up learning so much.! Professor Mosby is a visionary. He's also very handsome but sadly, there's a no student dating policy. He is so intelligent and I could listen to him all day. Best Professor ever!"", 'Professional', 'You gotta hangout with his friends, they are awesome!']"
L. Don McVinney,female,1,"[""Professor McVinney was great! He has a unique teaching style that goes off more of his own field experiences. We didn't get through all the slides. For some this may not be best (I thought I'd have trouble when I read a similar review) but it turned out to be perfect for me. I learned a lot and really enjoyed his class!"", ""I really enjoyed his class! That being said before taking his class be sure to know what's your best learning style. In my opinion his is more from experience, which is really insightful and one can easily relate to. He does go off on tangents but he has a lot of knowledge and loves to teach students. If you need more structure take someone else."", ""People rave about him because he barely requires any work from you. I didn't like his class or his style of teaching."", 'Tangential but interesting stories, never finished on time', ""He's great! If u can take him for alcohol & other chem. dep. you should!"", 'i did not like him...at all', 'Don Juan is so amazing. If you go to CUSSW he makes the experience!', 'Loved him!!!', 'Professor McVinney was, by far, my favorite teacher at CUSSW. He has extensive experience, keeps your attention and he helps students learn practical skills for the field.', 'McVinney is a fantastic lecturer! He is so knowledgable and has extensive experience. You have fun in his class and he encourages a lot of discussion. I highly recommend him for any course.']"
David Yerkes,male,0,"['Dr. Yerkes is not everyone\'s cup o\' tea... but he s got a keen intellect and his main purpose is to make you THINK! If you think you can drift, lazily, through his class you would be wrong. The man has been doing this for almost 40 years and knows his stuff! Is he a hard grader? Not particularly, but this is not an ""easy A"". I enjoy him, YMMV!', 'Quit caring quite a while ago, he\'s got the tenure & has checked out. I had him for Hist. of American Lang. which was an awful course. He basically adopts Pinker\'s ideas as his own & ridicules the ""lesser"" Bryson. It would be one thing if Yerkes devoted himself to research (he hasn\'t--he\'s been harping on the OED for the last 10 yrs--no book yet).', ""AVOID AT ALL COSTS. History of English Language is a complete joke. He didn't even have a syllabus. Nasty & grades erratically."", 'worst teacher EVER', 'No Comments', 'His class is well and humorously taught. Yerkes has little time for students without interest looking for a gut course, but his knowledge pays off if you pay attention. His Hist. of the Eng. Lang class also made passing the Univ. of Oxford M.Phil qualifying exam in Philology a breeze, by the way.', 'No Comments', ""Great prof. Quirky as heck, but a keen intellectual who teaches through ancedotes. Stay focused, relax, and you'll learn a lot.""]"
Stuart Gottlieb,male,1,"[""He's a fantastic professor. Has a wide range of experience in politics and international relations. His lectures can be long, but they are interesting. If you get a chance to chat with him during office hours, do so."", ""This is a beautiful man. Oh and he's a fantastic teacher. He really cares about his students, and makes the class -- even on terrorism -- fun!"", 'Great guy, great prof, great looking!', ""He is extremely good looking! And hes really dedicated to the subject matter, you can count on learning a whole lot from him. and if you ever need help, you can count on him. If you listen, do the readings, then there is no reason you shouldn't get an A."", ""5/21/06: culpa.info Columbia University: Gottlieb's lectures are fun and easy to follow. The lengthy list of readings should not turn you away, because most of them are not long (and I personally think you can do quite well just skimming them). That said, expect a better grade if your essays are informed by the arguments in those readings.""]"
Joseph Massad,male,1,"[""I've never taken a course with a professor so enthusiastic about conspiracy theories. If you believe the West is trying to corrupt Arabs by making them gay, then this is the professor for you."", ""Great professor. Very helpful and let's those who disagree with him state their opinion."", 'Extreme political views, not very open-minded. Not recommended.', 'Excellent professor, skilled at engaging students in meaningful discussion, enriches discussion with well-founded insight and an impressive commitment to teaching', ""Excellent professor who tolerates and encourages alternative assertions on mid-east politics, extremist zionists are trying to get him kicked out, because they can't stand a intelligent professor who cleverly deconstructs the dangers a zionist-written US foreign policy."", 'an open-minded intellectual who is unfairly attacked by people who disagree with his politics. he is a great lecturer.', 'incredibly intelligent, and very knowledgeable and insightful. Highly recommended.', 'I had him a few years ago- before all this controversy and right before 9/11- and I learned so much in his class. I really knew very little about the dynamics of the Muslim world going in and came out with not only a strong understanding of contemporary Islamic civiliization, but also a stronger appreciation of its relationship with Western Civ.', 'Excellent professor by all standards. He has his opinions and isnt afaid to share them- and DOES allow others express different opinions. I think he is an excellent- esp. when he argues with facts and data rather than sheer emotional passions', 'Interesting narrative. Open to differing opinions. Engaging.', ""Brilliant, kind professor. Fair and let's students speak"", 'an extremist, horrible man, horrible politics', 'No Comments']"
Herbert Terrace,female,0,"[""Curious fellow. He'll call for commentary on a viewpoint only to flat-out tell the pupil they're irrevocably wrong, and himself right. (Never bothered me, everyone laughed) BUT... he'll explain his thought processes and the mass of data he's based his decision upon. In that moment, you'll realize you are oblivious to the world around you Epic class"", 'Really found this instructor unbearably self-involved and patriarchially overbearing. Much of the material was poorly presented and instructor did not seem to be able to form a professional, engaging relationship with me or other students. He really should retire, IMO.', 'Not a good prof.', 'Dr. Terrace is a wonderful professor and the leading expert in his field. His experiements, approve of them or not, were groundbreaking and contributed to the field of study. Overall, an intellectually hungry man who holds his field of study, and science in general, above all else.', ""One of the most inspiring professors I've ever had. Definitely go to the coffee hour (Entenmann's chocolate donuts)! The lectures were great, and Professor Terrace engaging and helpful during office hours. His experiments with Nim Chimpsky were amazing. I feel fortunate to have been able to study with him."", ""There isn't a worse choice to teach an intro psych course. To say that the book was awful doesn't do it justice. Several lectures were devoted specifically to how cool he is for having proved Noam Chompsky wrong."", ""not very good prof. doesn't seem interested in teaching."", ""The textbook was honestly the WORST thing I have ever seen in my entire life. It was completely disappointing to be exposed to something like that - especially at Columbia. Herb's lectures were unclear, and he was not approachable at all."", ""He's been using that unfinished, useless textbook for 15 years !"", 'Assigned his own, largely unintelligible (and unfinished) book for class.', 'nice']"
Xavier Sala-i-Martin,male,1,"['Professor Sala acts more like an entertainer than a teacher. Engaging lectures but little learning. He also quite political and promotes a pretty extreme view on neoliberalism.', 'good, funny professor', ""Incredibly interesting AND entertaining. Most useful material I've learned in school. Midterm comically easy, final difficult but with heavy curve. Absolute must take!"", ""Yale's great loss to Columbia. The best professor I had ever had at Yale."", ""The best lecturer I've ever had, and he has fantastic TAs that are extremely helpful. He is interesting, informative, and his tests are right out of his homework problems. Bless this man. And I agree with the previous post, take any class you can with him!"", ""Best Professor I've ever had. He's smart, funny, cute (VERY CUTE!) and lovely (VERY LOVELY). I love this man!!!"", 'Take any class from this man if you have the chance.', 'fantastic teacher, brilliant man', 'AWESOME PROFESSOR', 'No Comments', 'brilliant guy who can actually teach', 'No Comments', ""Entertaining, but he doesn't really teach you anything."", ""Best Teacher I've ever had."", 'Professor or comedian???', 'No Comments']"
Brenda McGowan,male,0,"['I am sure she has done amazing things in her career but she does NOT need to teach any longer.', 'This professor was miserable. Her classes were incredibly boring, class discussion was limited to about two people commenting on their personal experiences with advocacy. Her voice was barely audible. Further, her assignments were vague and she was somewhat condescending when answering questions about them.', 'Worst. Teacher. Ever.', 'She is a very supportive professor and wants the students to do well and learn a lot. Low pressure. Great environment. Learned a lot.', ""Cool course. Fairly easy. Nice prof. Very intellegent and enthusiastic. I don't know why someone wouldn't sign up to study with her."", 'McGowan literally wrote the book on child welfare. She is also the chair of the PhD program. If you want to get the most out of your CUSSW experience, take her class. She is a giant in her field, but is totally down to earth and quite nice. She wants you to succeed. Other profs are more ""slick"", but McGowan is a wealth of knowledge & experience.']"
Robert Thurman,male,0,"[""The class is borderline boring and not terribly informative. The fact that the Professor obviously is too busy to be there half the time doesn't help either. The recommended/required reading list consists mostly out of books he wrote or translated. Skip this one, I?d say. Who cares who is daughter is?"", 'Excellent course. Go to the TA sessions to get the most out of this course. When I took the course, Prof. Thurman was available before class to answer questions, etc.', 'thurman is brilliant, informed, and he makes attractive children,..by the way robert..freeze it now so future generations my preserve thine beauty.', 'No Comments', 'expert on buddhist philosophy. however, rather sectarian, not really there for students. too busy to care. should retire.', 'No Comments', ""He doesn't listen. Arrogant as hell. Nice outside of class but too busy cavorting with the Dalai Lama to make office hours."", 'Ducks questions about his weak arguments in his books that do no justice to the Tibetan people and their religion.']"
Richard Braverman,male,1,"['Took his Logic & Rhetoric course back in 1990. Through his course, his course gave me (an Enginner) a newfound appreciation for literature.', 'useless', 'A truly great experience. The professor not only knows the material but knows how to present it in an engaging, even entertaining, way.', 'I really liked this course. All of the books were interesting, and the professor made them come alive. I recommend it.', 'Really good prof, really good class', 'Brilliant teacher', 'Great course.', 'Really good. I recommend it.', 'Great teacher, cares about students', 'No Comments', 'Very good teacher, very good person.', 'Totally middle of the road. He was okay.']"
