Name,Gender,score,comments
Charlene Mollett,male,0,['worst teacher ever']
William Cook,male,1,"['Great professor, truly passionate about literature.', 'No Comments']"
Michael Chaney,female,1,['']
John Watanabe,female,1,"['Good prof, knowledgeable, helpful.', ""He's very kind and engaging. His Anthropology 1 class revealed many connections I would not have imagined before.""]"
Richard Crocker,male,1,"[""First and best class I've ever took at Dartmouth. Crocker is a baller. He taught me how to write better than any professor I've previously had. If he ever offers the Writing 5 class on happiness, I would highly recommend signing up for it."", 'Excellent Professor']"
Maura Doyle,female,1,"['Great teacher. Very clear and makes all of the topics very easy to understand. Easy class - if you put a little work in, you will get an A. Lots of energy and very interesting.']"
Karen Gocsik,male,1,"[""Dr. Gocsik is perhaps the best professor I've had in life. She facilitates class discussion in a way that your opinions will be heard and weighted. Karen also goes over different aspects of the world in and out of class, and she's the person to turn to if you want to talk just about anything. My writing improved A LOT in her class."", ""She teaches at UCSD now and is by far the best writing teacher I've had in a while. The class itself isn't of the best structure (everything is geared towards 3 essays, where the last essay practically dictates your grade). She actually teaches you how to write better, but the class is time consuming."", 'Now a UCSD prof for Warren college. Very unlikeable GE class. Only 3 grades, which are the 3 final papers. Time consuming but the grading is very fair--so much so that it basically rewards already good writers and the rest will get a B+ or below. I did not learn to write better, but at least the topic (technology) was interesting to read about.', 'Prof. Gocsik through me into the deep end during freshman fall since her class has been the indisputably tough. Despite the intense discussions, complex texts and multiple drafts of papers, I now look back at the class with a sense of accomplishment and relief. I am no longer afraid to write and am confident in my writing ability.', 'Demanding but great professor. The classes are great!!', 'Karen has taken the ""none"" out of my nonsensical writing, and made it ""sense"". She is the best professor I have ever had. K is genuinely dedicated to the success of her students- both in and out of the classroom. You can talk to her about just anything. And her inner glow is what keeps students motivated despite the mammoth course load.', 'Karen is the highlight of my academic experience at Dartmouth. She taught me how to write papers from scratch, until I got an A. She is a very hardworking and interesting teacher, who makes a class so interesting, that the student is injected with the desire/impatience to share his opinions when going to class. It was a pleasure to be her student.', ""The best class I've taken at Dartmouth and the reason I know how towrite A papers now"", 'Karen cares about her students, and she cares about them deeply. She injects energy into every classroom she walks into as well. Her knowledge of our culture is phenomenal, and she likes to argue her points until she has beat the living daylight out of all the angles. I suggest Karen wholeheartedly.', ""Karen's Writing 2-3 classes are known as some of the most hardcore classes at Dartmouth... but you learn so much that it's well worth it. I wish I could find other classes at D that made me think as much as Karen's class did. She gives a lot of work, but puts as much care into the class as we do, often staying up until 4am or later marking papers."", 'Karen achieves a perfect balance between laying out an argument that an author has made and making her students think creatively and deeply about it. HEr class was one of the most intellectually stimulating classes I have had and my writing skills improved to a surprisingly high degree.', 'No Comments', 'Great prof, great person!', ""If I could, I'd take Karen's class again. She is one of the most caring, intelligent and dedicated professors ever. Her class is always full of energy and thought provoking. She will guides you through to become a better writer, independent and logical thinker, and eloquent communicator. You'll be another one very lucky person if you learn from her"", 'Karen is not simply a teacher, she is a true mentor, capable of truly connecting with various students. On a continent where unfortunately I have not men too many intellectuals, Karen is one of the few who taught me how to be a confident thinker, who feels free to ALWAYS raise questions rather than focus on the answers. Love learning?=> Karen!!!', 'No Comments', 'The professor has done a lot of preparation for class in order to equip the students with great writing and discussion skills. The assignments, although quite hard and sometimes can be quite painful, have brought me out of my comfort zone which eventually ends up widening my comfort zone as well.', 'Karen is a great professor! She really cares about teaching, and she is a very accessible professor as well. Her teaching methods are extremely innovative and involve lots of class discussion. Karen is a hard but fair grader, and her grades are always accompanied by large amounts of feedback and comments. If you want to learn you will not go wrong.', ""Karen is responsible for teaching students, many of whom do not speak English as their first language, how to think and write in English. She's a great Prof because she gives up her time and effort to ensure that her students excel. She gives her time at literally whatever time of day respond to concerns of her students, sort through confusion et"", 'For international students, Karen means more than just a professor. Karen is first of all a great friend that you can talk to about anything on you mind. She would be always interested to hear what you have to say. She has the capacity to connect to people from very different backgrounds and understand them.For that reason,she is a global professor']"
Dale Eickelman,male,0,"[""I would never suggest to anyone that they take a class with Professor Eickelman. He's a poor professor who thinks far too highly of himself. His lectures were the worst part of my Dartmouth experience."", 'No Comments', 'Amen brother...not just an aweful professor, but an obnoxious human being. KICK HIM OUT RIGHT NOW!!!', 'The most pompous, arrogant SOB on the face of the planet. Treats students like****. Eickelman should be fired and tried for crimes against humanity!']"
Prasad Jayanti,female,1,"['Wonderful at explaining complicated computer science concepts and linking them to real world analogies', ""Best Professor I've had at Dartmouth, hands down. No matter who you take them with, CS30 is going to be tough, and CS31 is going to be tougher. However, if you do it with Jayanti, you'll enjoy yourself and you'll enjoy the class and you'll actually feel like you've learned something."", 'great interaction with students', ""Best prof I've had so far at dartmouth"", 'Awesome', ""REALLY smart, but doesn't plan the answers beforehand, just has epiphanies when solving problems. It's like taking a class from God."", ""Absolutely one of the best profs I've had at Dartmouth"", '.', 'Best professor of all time. If you have the opportunity to take a class with this dude, you better DO IT!', 'Great', 'He filled in for my professor a few times and i REALLY wish he tought the class full time. He explained everything so clearly and was so entertainint', 'After years of classes, the best professor I have had for any course.', 'The greatest professor in the history of the universe.', 'No Comments', 'prasad is one funky dude.', 'No Comments', 'This dude has one sweet accent.']"
Elizabeth Perez,male,1,['Extremely knowledgeable. An asset to the field. Accessible and approachable.']
